Class Name (str),Coarse Class Name (str),Iconic Image Path (str),Product Description Path (str)
Golden-Delicious,Apple,/iconic-images-and-descriptions/Fruit/Apple/Golden-Delicious/Golden-Delicious_Iconic.jpg,"Golden Delicious has a white juicy pulp and a greenish yellow shell. The taste is mellow and sweet, making Golden Delicious suitable for desserts.
"
Granny-Smith,Apple,/iconic-images-and-descriptions/Fruit/Apple/Granny-Smith/Granny-Smith_Iconic.jpg,"Granny Smith is a green apple with white, firm pulp and a clear acidity in the flavor.
"
Pink-Lady,Apple,/iconic-images-and-descriptions/Fruit/Apple/Pink-Lady/Pink-Lady_Iconic.jpg,"Pink Lady reminds of Royal Gala, though it is an even sweeter and crispier apple.
"
Red-Delicious,Apple,/iconic-images-and-descriptions/Fruit/Apple/Red-Delicious/Red-Delicious_Iconic.jpg,"Red Delicious is a dark red apple with relatively soft pulp and sweet taste.
"
Royal-Gala,Apple,/iconic-images-and-descriptions/Fruit/Apple/Royal-Gala/Royal-Gala_Iconic.jpg,"Royal Gala is a crispy and very juicy apple, with yellow-white pulp. The peel is thin with a red yellow speckled color.
"
Avocado,Avocado,/iconic-images-and-descriptions/Fruit/Avocado/Avocado_Iconic.jpg,"Avocado is a fruit with a clear core in the middle. The pulp is light yellow and the peel may vary from light green to dark green, almost black. Avocado fits for starters, salads and as an ingredient in Guacamole.
"
Banana,Banana,/iconic-images-and-descriptions/Fruit/Banana/Banana_Iconic.jpg,"An ecologically grown banana. Bananas are good as snacks. The banana is temperature sensitive, very sensitive to dehydration, ethylene and cold damage. Store in room temperature or cool, never in a refrigerator.
"
Kiwi,Kiwi,/iconic-images-and-descriptions/Fruit/Kiwi/Kiwi_Iconic.jpg,"Kiwi, or Chinese currants, as it is also called, has a sweet taste with clear acidity. The fruit is rich in vitamin C.
"
Lemon,Lemon,/iconic-images-and-descriptions/Fruit/Lemon/Lemon_Iconic.jpg,"Lemon is used as a flavor in food and drinks and has a very tart and sour taste.
"
Lime,Lime,/iconic-images-and-descriptions/Fruit/Lime/Lime_Iconic.jpg,"The lime fruit, like lemon, has sour taste, with the difference that the lime is more juicy and flavorsome than the lemon. It is mainly the juice you use but also the shell can be used.
"
Mango,Mango,/iconic-images-and-descriptions/Fruit/Mango/Mango_Iconic.jpg,"Mango has a fresh, powerful and sweet taste, but a special exotic shade. Inside there is a large, oval kernel in which the pulp is grown in. This makes the best way to cut mango is with the shell on. Divide the fruit by cutting along on both sides of the core. Mango can be eaten naturally or in desserts, entrees and main courses.
"
Cantaloupe,Melon,/iconic-images-and-descriptions/Fruit/Melon/Cantaloupe/Cantaloupe_Iconic.jpg,"The cantaloupe melon is a rather small and all round sugar melon, with a greenish yellow mesh patterned shell. The pulp is orange colored with juicy and sweet taste.
"
Galia-Melon,Melon,/iconic-images-and-descriptions/Fruit/Melon/Galia-Melon/Galia-Melon_Iconic.jpg,"Galia melon is a small round sugar melon with a yellowish green, orange, or light brown mesh patterned shell. The pulp is firm and juicy, with a cream white to yellowish green color and a sweet, rich flavor.
"
Honeydew-Melon,Melon,/iconic-images-and-descriptions/Fruit/Melon/Honeydew-Melon/Honeydew-Melon_Iconic.jpg,"Honeydew melon is an oval shaped sugarmelon, with a yellow shell. The pulp is creamy light yellow with juicy, sweet and fresh taste, which is milder than other melons.
"
Watermelon,Melon,/iconic-images-and-descriptions/Fruit/Melon/Watermelon/Watermelon_Iconic.jpg,"Water melon juicier than sugar melons, and has a round peel with light green base color, with long-tied dark green stripes. The pulp is very juicy, mild and sweet, and occurs with and without kernels.
"
Nectarine,Nectarine,/iconic-images-and-descriptions/Fruit/Nectarine/Nectarine_Iconic.jpg,"The nectarine is a stone fruit with plain peel and yellow or orange pulp, which is somewhat firmer than the peach. Nectarine is suitable for eating naturally but can also be used for pastry, marmalade and jam.
"
Orange,Orange,/iconic-images-and-descriptions/Fruit/Orange/Orange_Iconic.jpg,"There are many different types of oranges that ripen and is sold during different parts of the year. The orange is a very important vitamin C source and the vitamins are best kept if the fruit is eaten naturally.
"
